collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,doi,collection_url,explorer_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,Human tonsil memory B cells scRNA,21595,,,King,Sci. Immunol.,2021.0,,https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,https://cellxgene.cziscience.com/e/7970bd6b-f752-47a9-8643-2af16855ec49.cxg/,tonsil,normal,3a2af25b-2338-4266-aad3-aa8d07473f50,3c9c04c2-1f5e-440c-bb93-ab23cb592e93,7970bd6b-f752-47a9-8643-2af16855ec49,c784dab5-b672-4651-a7a0-d7a848374728,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/c784dab5-b672-4651-a7a0-d7a848374728.h5ad
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,Human tonsil B cells scRNA,25728,,,King,Sci. Immunol.,2021.0,,https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,https://cellxgene.cziscience.com/e/482954b2-0456-4901-b379-b62f99c0ab2d.cxg/,tonsil,normal,3a2af25b-2338-4266-aad3-aa8d07473f50,3c9c04c2-1f5e-440c-bb93-ab23cb592e93,482954b2-0456-4901-b379-b62f99c0ab2d,55c46f4b-a08f-4dcb-a02a-88fb02c08131,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/55c46f4b-a08f-4dcb-a02a-88fb02c08131.h5ad
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,Human tonsil complete integrated cell set scRNA,32607,,,King,Sci. Immunol.,2021.0,,https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,https://cellxgene.cziscience.com/e/44882825-0da1-4547-b721-2c6105d4a9d1.cxg/,tonsil,normal,3a2af25b-2338-4266-aad3-aa8d07473f50,3c9c04c2-1f5e-440c-bb93-ab23cb592e93,44882825-0da1-4547-b721-2c6105d4a9d1,b034283e-dafd-4d92-a8f1-6169a99799b1,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/b034283e-dafd-4d92-a8f1-6169a99799b1.h5ad
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,Human tonsil nonlymphoid cells scRNA,363,,,King,Sci. Immunol.,2021.0,,https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,https://cellxgene.cziscience.com/e/00ff600e-6e2e-4d76-846f-0eec4f0ae417.cxg/,tonsil,normal,3a2af25b-2338-4266-aad3-aa8d07473f50,3c9c04c2-1f5e-440c-bb93-ab23cb592e93,00ff600e-6e2e-4d76-846f-0eec4f0ae417,09d1124d-68e5-4ca7-9452-e3012b2858d6,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/09d1124d-68e5-4ca7-9452-e3012b2858d6.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,49 years old male - Airway Wash (2 days post-intubation),9852,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/f156606a-dd9a-49fd-bc40-0e069b6cf07c.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,f156606a-dd9a-49fd-bc40-0e069b6cf07c,c62d5199-a6e5-4d8a-b3b2-648b033fc6a1,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/c62d5199-a6e5-4d8a-b3b2-648b033fc6a1.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (5 days post-intubation),1324,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/eec804b9-2ae5-44f0-a1b5-d721e21257de.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,eec804b9-2ae5-44f0-a1b5-d721e21257de,06748cf1-9a1d-4ac5-9999-98152bfc6ae9,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/06748cf1-9a1d-4ac5-9999-98152bfc6ae9.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,49 years old male - Airway Wash (3 days post-intubation),2487,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b,6f4e1c53-ec01-4937-a115-a0e95c5ff648,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/6f4e1c53-ec01-4937-a115-a0e95c5ff648.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,66 years old female - Airway Wash (3 days post-intubation),3434,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/dbf0bd35-87f8-4b25-bc90-a3c54f379907.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,dbf0bd35-87f8-4b25-bc90-a3c54f379907,4c42a0a8-c5cf-4525-9120-dae962b5922e,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/4c42a0a8-c5cf-4525-9120-dae962b5922e.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (6 days post-intubation),2834,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/ce009dc1-ac57-4386-b72f-5c575701c253.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,ce009dc1-ac57-4386-b72f-5c575701c253,c8951cd9-c0fc-43bd-8087-c991cf8130e4,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/c8951cd9-c0fc-43bd-8087-c991cf8130e4.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,66 years old female - Airway Wash (2 days post-intubation),7025,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/bd3e3487-c1e6-4298-b9de-8bdcf3f938d7.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,bd3e3487-c1e6-4298-b9de-8bdcf3f938d7,a5fd890d-4680-4c55-8403-dc1ebdfab656,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/a5fd890d-4680-4c55-8403-dc1ebdfab656.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,82 years old female - Airway Wash (1 day post-intubation),1074,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/b25f3834-69b3-4d87-a272-3938432d1f30.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,b25f3834-69b3-4d87-a272-3938432d1f30,42bfe98e-093a-451b-ab2f-4d43f9316d62,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/42bfe98e-093a-451b-ab2f-4d43f9316d62.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (7 days post-intubation),810,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/a65bcc2d-4243-44c1-a262-ab7dcddfcf86.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,a65bcc2d-4243-44c1-a262-ab7dcddfcf86,455d61c0-3709-4084-8b2f-cde2f1484970,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/455d61c0-3709-4084-8b2f-cde2f1484970.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,49 years old male - Airway Wash (1 day post-intubation),2489,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/7d98cc44-b090-4dc8-804f-2750c84fe9d7.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,7d98cc44-b090-4dc8-804f-2750c84fe9d7,fa83d537-3ddf-40b2-961f-8f2b48fa1e70,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/fa83d537-3ddf-40b2-961f-8f2b48fa1e70.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,66 years old female - Airway Wash (7 days post-intubation),4594,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/73b7d0aa-035f-4a15-9f1d-f56b70204591.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,73b7d0aa-035f-4a15-9f1d-f56b70204591,a7fcecb8-5f3a-46ed-b208-b3f5767faeea,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/a7fcecb8-5f3a-46ed-b208-b3f5767faeea.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (8 days post-intubation),2065,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/731e6380-879f-4b0b-9a1f-2150208852ef.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,731e6380-879f-4b0b-9a1f-2150208852ef,ab1438c0-9b10-4945-9b11-50c8259ac26b,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/ab1438c0-9b10-4945-9b11-50c8259ac26b.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,66 years old female - Airway Wash (4 days post-intubation),2598,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93,5d26b495-41c5-4485-91b8-a0a5e5762412,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/5d26b495-41c5-4485-91b8-a0a5e5762412.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (4 days post-intubation),4147,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/51f476f7-b24d-42f3-8871-7dab3fa35e96.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,51f476f7-b24d-42f3-8871-7dab3fa35e96,ec195a6c-bf74-4559-ab1c-26be7de84ce6,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/ec195a6c-bf74-4559-ab1c-26be7de84ce6.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (3 days post-intubation),5834,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/492d9f77-c4c8-485d-92d7-7686fe6c8482.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,492d9f77-c4c8-485d-92d7-7686fe6c8482,67d1dbaa-5141-4cf8-b8ce-c37b06dc86f7,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/67d1dbaa-5141-4cf8-b8ce-c37b06dc86f7.h5ad
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,74 years old female - Airway Wash (1 day post-intubation),4651,,,Szabo,Immunity,2021.0,,https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,https://cellxgene.cziscience.com/e/2f7230e7-4706-4924-b571-473fc1e52c30.cxg/,respiratory airway,COVID-19,29f92179-ca10-4309-a32b-d383d80347c1,4c2bf275-4eed-4486-9b00-49ca9a0581d6,2f7230e7-4706-4924-b571-473fc1e52c30,7935ace4-7a93-4f91-9cd4-371877aec33a,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/7935ace4-7a93-4f91-9cd4-371877aec33a.h5ad
Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes,Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.,116778,,,Long,Nat Commun,2024.0,,https://cellxgene.cziscience.com/collections/ad10cef8-9c6c-488f-9b50-d252d49b6837,https://cellxgene.cziscience.com/e/92594117-6e7c-47bd-bd6b-65c52cea167b.cxg/,lung,normal,ad10cef8-9c6c-488f-9b50-d252d49b6837,5811dbcf-efde-4717-890d-df3fa5d6a685,92594117-6e7c-47bd-bd6b-65c52cea167b,7e6a97a5-5143-4773-ba41-b95f45a30526,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/7e6a97a5-5143-4773-ba41-b95f45a30526.h5ad
Local and systemic responses to SARS-CoV-2 infection in children and adults,Airway,236977,,,Yoshida,Nature,2022.0,,https://cellxgene.cziscience.com/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7,https://cellxgene.cziscience.com/e/edc8d3fe-153c-4e3d-8be0-2108d30f8d70.cxg/,bronchus | nasal cavity | trachea,COVID-19 | normal,03f821b4-87be-4ff4-b65a-b5fc00061da7,9243418c-0d65-4ea5-9761-70c873b62cb1,edc8d3fe-153c-4e3d-8be0-2108d30f8d70,2d9f0e25-3e7f-4e4b-86ea-18fda98dc8be,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/2d9f0e25-3e7f-4e4b-86ea-18fda98dc8be.h5ad
Emphysema Cell Atlas,non-immune cells,18386,,,Wang,Immunity,2023.0,,https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,https://cellxgene.cziscience.com/e/4b6af54a-4a21-46e0-bc8d-673c0561a836.cxg/,alveolus of lung,normal | pulmonary emphysema,03cdc7f4-bd08-49d0-a395-4487c0e5a168,416b2d25-cc16-4bf2-91c4-9684f880b97a,4b6af54a-4a21-46e0-bc8d-673c0561a836,86d2948e-9ff9-47c7-9d83-999c4cfa1789,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/86d2948e-9ff9-47c7-9d83-999c4cfa1789.h5ad
Emphysema Cell Atlas,AT2 cells,3662,,,Wang,Immunity,2023.0,,https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,https://cellxgene.cziscience.com/e/214bf9eb-93db-48c8-8e3c-9bb22fa3bc63.cxg/,alveolus of lung,normal | pulmonary emphysema,03cdc7f4-bd08-49d0-a395-4487c0e5a168,416b2d25-cc16-4bf2-91c4-9684f880b97a,214bf9eb-93db-48c8-8e3c-9bb22fa3bc63,0c8d8b39-9859-40a0-af2a-36908a70d9ae,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/0c8d8b39-9859-40a0-af2a-36908a70d9ae.h5ad
Emphysema Cell Atlas,immune cells,35699,,,Wang,Immunity,2023.0,,https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,https://cellxgene.cziscience.com/e/1e5bd3b8-6a0e-4959-8d69-cafed30fe814.cxg/,alveolus of lung,normal | pulmonary emphysema,03cdc7f4-bd08-49d0-a395-4487c0e5a168,416b2d25-cc16-4bf2-91c4-9684f880b97a,1e5bd3b8-6a0e-4959-8d69-cafed30fe814,b1348c02-123e-4e06-8511-def04849cb8d,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/b1348c02-123e-4e06-8511-def04849cb8d.h5ad
Human CellCards Multi-Study CellRef 1.0 Atlas,Human CellCards Multi-Study CellRef 1.0 Atlas,347970,,,Guo,Nat Commun,2023.0,,https://cellxgene.cziscience.com/collections/f86d6317-7215-409e-bfda-3f4ded3dadaa,https://cellxgene.cziscience.com/e/eb499fd8-7000-419f-8854-926b9b61b11f.cxg/,lung,normal,f86d6317-7215-409e-bfda-3f4ded3dadaa,73b18151-d281-40f8-8932-8e65c21009c2,eb499fd8-7000-419f-8854-926b9b61b11f,8b459307-bce0-45f9-9e45-a0a3673058a2,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/8b459307-bce0-45f9-9e45-a0a3673058a2.h5ad
