collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,doi,collection_url,explorer_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
Characterizing smoking-induced transcriptional heterogeneity in the human bronchial epithelium at single-cell resolution,Characterizing smoking-induced transcriptional heterogeneity in the human bronchial epithelium at single-cell resolution.,796,,,Duclos,Sci. Adv.,2019.0,,https://cellxgene.cziscience.com/collections/1f0f863f-b69d-4ba3-8bab-d2727dd0aecf,https://cellxgene.cziscience.com/e/61d327d1-2227-4c5f-9367-e3559dc79b07.cxg/,epithelium of main bronchus,normal,1f0f863f-b69d-4ba3-8bab-d2727dd0aecf,51d29a70-0292-4486-8efe-ac7de03a18a2,61d327d1-2227-4c5f-9367-e3559dc79b07,5d129809-6384-4827-a690-9c1a636714ee,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/5d129809-6384-4827-a690-9c1a636714ee.h5ad
LungMAP — Human data from a broad age healthy donor group,Single-cell multiomic profiling of human lungs across age groups,46500,,,Wang,eLife,2020.0,,https://cellxgene.cziscience.com/collections/625f6bf4-2f33-4942-962e-35243d284837,https://cellxgene.cziscience.com/e/3de0ad6d-4378-4f62-b37b-ec0b75a50d94.cxg/,lung,normal,625f6bf4-2f33-4942-962e-35243d284837,41222d84-f6cc-4705-be46-1e9aa5502063,3de0ad6d-4378-4f62-b37b-ec0b75a50d94,b1ba366b-d63b-4fdb-8bc6-c3c27dc3bd89,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/b1ba366b-d63b-4fdb-8bc6-c3c27dc3bd89.h5ad
The integrated Human Lung Cell Atlas,An integrated cell atlas of the human lung in health and disease (core),584944,,,Sikkema,Nat Med,2023.0,,https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,https://cellxgene.cziscience.com/e/066943a2-fdac-4b29-b348-40cede398e4e.cxg/,lung parenchyma | nose | respiratory airway,normal,6f6d381a-7701-4781-935c-db10d30de293,99df0d1e-e330-4204-92ef-c564b684930a,066943a2-fdac-4b29-b348-40cede398e4e,4cb45d80-499a-48ae-a056-c71ac3552c94,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/4cb45d80-499a-48ae-a056-c71ac3552c94.h5ad
Charting human development using a multi-endodermal organ atlas and organoid models,Developing Human Atlas,155232,,,Yu,Cell,2021.0,,https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa,https://cellxgene.cziscience.com/e/9968be68-ab65-4a38-9e1a-c9b6abece194.cxg/,body of stomach | colon | duodenum | epithelium of trachea | esophagus | ileum | jejunum | liver | lung | pyloric antrum | small intestine | stomach,normal,dfc09a93-bce0-4c77-893d-e153d1b7f9fa,4d3be912-2900-4a1a-ab36-f35116617078,9968be68-ab65-4a38-9e1a-c9b6abece194,a0215936-cfde-4162-9b34-b3fbcbc7d9e3,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/a0215936-cfde-4162-9b34-b3fbcbc7d9e3.h5ad
A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease,A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease,115788,,,Rustam,Am J Respir Crit Care Med,2023.0,,https://cellxgene.cziscience.com/collections/4f30b962-d49b-4624-a233-64f048cf8632,https://cellxgene.cziscience.com/e/b61a921b-7fa3-4b42-b455-aaaf32447920.cxg/,bronchus | segmental bronchus | terminal bronchus,chronic obstructive pulmonary disease | normal,4f30b962-d49b-4624-a233-64f048cf8632,26bc3871-ff3b-4ec9-bec5-bb75afc99fae,b61a921b-7fa3-4b42-b455-aaaf32447920,861b6b12-f9c9-4434-8d09-695a5156ce23,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/861b6b12-f9c9-4434-8d09-695a5156ce23.h5ad
Cell culture differentiation and proliferation conditions influence the in vitro regeneration of the human airway epithelium,Air-Liquid Interface cultures of human airway epithelium in 4 differentiation media - Redman et al.,10224,,,Redman,Am J Respir Cell Mol Biol,2024.0,,https://cellxgene.cziscience.com/collections/73cf6939-3caa-4105-bc57-e073ee885a28,https://cellxgene.cziscience.com/e/c69fb6cd-fc4d-4216-85cb-8d80e7771786.cxg/,epithelial cell of lung,normal,73cf6939-3caa-4105-bc57-e073ee885a28,ef5c1741-b76b-4458-b624-b96cd3887917,c69fb6cd-fc4d-4216-85cb-8d80e7771786,fb491477-68cd-47cf-9163-ee1da2e4639f,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/fb491477-68cd-47cf-9163-ee1da2e4639f.h5ad
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells,Airway,17451,,,Lukassen,The EMBO Journal,2020.0,,https://cellxgene.cziscience.com/collections/6ff3401b-d72c-4940-a00c-3f0792397082,https://cellxgene.cziscience.com/e/8fcf0ccc-67b2-43a3-90be-075f85169bef.cxg/,respiratory airway,normal,6ff3401b-d72c-4940-a00c-3f0792397082,5e92724e-14ff-4fc6-8a63-7ba578c9d15d,8fcf0ccc-67b2-43a3-90be-075f85169bef,88480dcc-0860-4e5d-bf4d-f3a05ee9a0c9,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/88480dcc-0860-4e5d-bf4d-f3a05ee9a0c9.h5ad
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells,Lung,39778,,,Lukassen,The EMBO Journal,2020.0,,https://cellxgene.cziscience.com/collections/6ff3401b-d72c-4940-a00c-3f0792397082,https://cellxgene.cziscience.com/e/2f132ec9-24b5-422f-9be0-ccef03b4fe28.cxg/,lung,normal,6ff3401b-d72c-4940-a00c-3f0792397082,5e92724e-14ff-4fc6-8a63-7ba578c9d15d,2f132ec9-24b5-422f-9be0-ccef03b4fe28,667f3b2e-c7fd-49a6-a1a4-79999f1d46ad,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/667f3b2e-c7fd-49a6-a1a4-79999f1d46ad.h5ad
Human γδ T cells in diverse tissues exhibit site-specific maturation dynamics across the lifespan,scRNA-seq of adult gamma delta T cells,7417,,,Gray,Sci. Immunol.,2024.0,,https://cellxgene.cziscience.com/collections/ec691f5f-0aac-433c-8f78-e7f4b85a05e0,https://cellxgene.cziscience.com/e/5f4556b6-017e-49b3-b31c-c6e8e226c9fb.cxg/,jejunum | lung | mesenteric lymph node | spleen | thoracic lymph node,normal,ec691f5f-0aac-433c-8f78-e7f4b85a05e0,0d25e16c-0fdf-460e-9d29-2a9da7d59aea,5f4556b6-017e-49b3-b31c-c6e8e226c9fb,e1511f7d-7b21-48e9-89d1-6a84c9dacf7f,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/e1511f7d-7b21-48e9-89d1-6a84c9dacf7f.h5ad
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,Human tonsil T cells scRNA,8753,,,King,Sci. Immunol.,2021.0,,https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,https://cellxgene.cziscience.com/e/f54647ec-0c03-4775-8dac-5a477c10a3f5.cxg/,tonsil,normal,3a2af25b-2338-4266-aad3-aa8d07473f50,3c9c04c2-1f5e-440c-bb93-ab23cb592e93,f54647ec-0c03-4775-8dac-5a477c10a3f5,c2173c87-00ee-4442-a8f8-9a14d7f52f74,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/c2173c87-00ee-4442-a8f8-9a14d7f52f74.h5ad
