collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,collection_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,NSCLC epithelial cells,9778,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,d4cfefa0-3a35-44eb-b848-d7a725b481e7,7de57b59-cfe7-4600-aedb-bab372db4d63,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/7de57b59-cfe7-4600-aedb-bab372db4d63.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,Mesenchymal cells,8030,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,d224c8e0-c28e-4360-9e42-b3977cd83f9f,0cebdf9d-4601-4d10-843e-9e415e89b3ab,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/0cebdf9d-4601-4d10-843e-9e415e89b3ab.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,Myeloid SCLC samples only,2951,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | liver | lung | lymph node | pleural effusion,small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,b47cf863-d90d-4fe5-a1eb-1a4785a3e329,ec7ff59e-1e59-4789-9635-1f41e1789ac5,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/ec7ff59e-1e59-4789-9635-1f41e1789ac5.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,Epithelial cells,64091,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,a6858c10-c52a-4a1d-bc12-a90dbd51ca66,9d89f65f-ff82-4093-98d1-cddd0195dab1,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/9d89f65f-ff82-4093-98d1-cddd0195dab1.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,SCLC immune cells,16475,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | liver | lung | lymph node | pleural effusion,small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,76347874-8801-44bf-9aea-0da21c78c430,75f0616a-fb2c-469d-9fa3-592413056dca,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/75f0616a-fb2c-469d-9fa3-592413056dca.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,Combined samples,147137,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,576f193c-75d0-4a11-bd25-8676587e6dc2,5b7cbce2-ed53-47a4-99f8-10af741814e6,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5b7cbce2-ed53-47a4-99f8-10af741814e6.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,T cells,46140,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,486486d4-9462-43e5-9249-eb43fa5a49a6,741cdfbb-f609-47f9-989d-7152a3489493,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/741cdfbb-f609-47f9-989d-7152a3489493.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,SCLC epithelial cells,54313,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | liver | lung | lymph node | pleural effusion,small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,34deb33b-a50e-4993-a38b-1c0e5079c1c2,f5270751-0cfe-44ca-9d3b-8646e733bffd,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/f5270751-0cfe-44ca-9d3b-8646e733bffd.h5ad
Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes,Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.,116778,,,Long,Nat Commun,2024,https://cellxgene.cziscience.com/collections/ad10cef8-9c6c-488f-9b50-d252d49b6837,lung,normal,ad10cef8-9c6c-488f-9b50-d252d49b6837,5811dbcf-efde-4717-890d-df3fa5d6a685,92594117-6e7c-47bd-bd6b-65c52cea167b,7e6a97a5-5143-4773-ba41-b95f45a30526,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/7e6a97a5-5143-4773-ba41-b95f45a30526.h5ad
Emphysema Cell Atlas,non-immune cells,18386,,,Wang,Immunity,2023,https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,alveolus of lung,normal | pulmonary emphysema,03cdc7f4-bd08-49d0-a395-4487c0e5a168,416b2d25-cc16-4bf2-91c4-9684f880b97a,4b6af54a-4a21-46e0-bc8d-673c0561a836,86d2948e-9ff9-47c7-9d83-999c4cfa1789,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/86d2948e-9ff9-47c7-9d83-999c4cfa1789.h5ad
