collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,collection_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,Immune aging project - b cell subset,272162,,,Wells,Nat Immunol,2025,https://cellxgene.cziscience.com/collections/cc431242-35ea-41e1-a100-41e0dec2665b,blood | bone marrow | epithelial lining fluid | inguinal lymph node | jejunal epithelium | jejunum lamina propria | lung | mesenteric lymph node | spleen | thoracic lymph node,normal,cc431242-35ea-41e1-a100-41e0dec2665b,b0bc35c2-280e-4b02-97d5-c5f2fc4b8593,3f766409-fcd6-4553-99e8-259bc24a6be6,675cf3b0-7523-4c61-9124-54684f8ad281,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/675cf3b0-7523-4c61-9124-54684f8ad281.h5ad
Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,Immune aging project - all cells,1281499,,,Wells,Nat Immunol,2025,https://cellxgene.cziscience.com/collections/cc431242-35ea-41e1-a100-41e0dec2665b,blood | bone marrow | colonic epithelium | epithelial lining fluid | inguinal lymph node | jejunal epithelium | jejunum lamina propria | lamina propria of mucosa of colon | liver | lung | mesenteric lymph node | skin of body | spleen | thoracic lymph node,normal,cc431242-35ea-41e1-a100-41e0dec2665b,b0bc35c2-280e-4b02-97d5-c5f2fc4b8593,1b350d0a-4535-4879-beb6-1142f3f94947,7c98dadf-b249-4873-83be-51776674e9e1,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/7c98dadf-b249-4873-83be-51776674e9e1.h5ad
Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,Immune aging project - myeloid cell subset,225268,,,Wells,Nat Immunol,2025,https://cellxgene.cziscience.com/collections/cc431242-35ea-41e1-a100-41e0dec2665b,blood | bone marrow | epithelial lining fluid | inguinal lymph node | jejunal epithelium | jejunum lamina propria | lung | mesenteric lymph node | spleen | thoracic lymph node,normal,cc431242-35ea-41e1-a100-41e0dec2665b,b0bc35c2-280e-4b02-97d5-c5f2fc4b8593,11ae668a-88c2-4d86-ba08-524fe576a882,f97e8224-3ec7-4d2a-873d-94c6cce7ffe2,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/f97e8224-3ec7-4d2a-873d-94c6cce7ffe2.h5ad
Tabula Sapiens,Tabula Sapiens - Immune,592317,,,,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,c5d88abe-f23a-45fa-a534-788985e93dad,e62b0182-368f-4875-8ac1-f49e3d5eda60,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e62b0182-368f-4875-8ac1-f49e3d5eda60.h5ad
Tabula Sapiens,Tabula Sapiens - Stromal,232684,,,,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | tongue | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,a68b64d8-aee3-4947-81b7-36b8fe5a44d2,28d59407-b230-444f-b363-32d60d1bd895,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/28d59407-b230-444f-b363-32d60d1bd895.h5ad
Tabula Sapiens,Tabula Sapiens - Epithelium,228032,,,,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,anterior part of tongue | anterior segment of eyeball | ascending colon | bladder organ | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | jejunum | kidney | lacrimal gland | large intestine | left ovary | liver | lung | mammary gland | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | stomach | stomach smooth muscle | sublingual gland | submandibular gland | testis | thymus | tongue | trachea | uterus | utricle of membranous labyrinth,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,97a17473-e2b1-4f31-a544-44a60773e2dd,d785671f-3157-40cf-a035-e9ba0052d3b3,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/d785671f-3157-40cf-a035-e9ba0052d3b3.h5ad
Tabula Sapiens,Tabula Sapiens - Endothelium,73195,,,,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,5a11f879-d1ef-458a-910c-9b0bdfca5ebf,95e4fc1d-c70a-46ea-b459-661c238ddc8e,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/95e4fc1d-c70a-46ea-b459-661c238ddc8e.h5ad
Tabula Sapiens,Tabula Sapiens - All Cells,1136218,,,,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | tongue | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,53d208b0-2cfd-4366-9866-c3c6114081bc,5a495302-b7cd-4bf9-853e-95627b00bb03,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5a495302-b7cd-4bf9-853e-95627b00bb03.h5ad
Tabula Sapiens,Tabula Sapiens - Lung,65847,,,,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,lung,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,0d2ee4ac-05ee-40b2-afb6-ebb584caa867,40f8b1a3-9f76-4ac4-8761-32078555ed4e,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/40f8b1a3-9f76-4ac4-8761-32078555ed4e.h5ad
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,Fresh samples (single cell),157531,,,Klughammer,Nat Med,2024,https://cellxgene.cziscience.com/collections/a96133de-e951-4e2d-ace6-59db8b3bfb1d,axilla | bone spine | breast | liver | lung | neck,breast cancer,a96133de-e951-4e2d-ace6-59db8b3bfb1d,d4c77eee-e79f-4f99-b42a-985d3a8e2b2a,6c87755e-a671-41a8-9c7e-4e43b850a57b,6ba4ff0b-417f-4ab3-9423-61afc225b287,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/6ba4ff0b-417f-4ab3-9423-61afc225b287.h5ad
Cross-tissue immune cell analysis reveals tissue-specific features in humans,Myeloid compartment,51552,,,Domínguez Conde,Science,2022,https://cellxgene.cziscience.com/collections/62ef75e4-cbea-454e-a0ce-998ec40223d3,blood | bone marrow | caecum | duodenum | ileum | jejunal epithelium | lamina propria | liver | lung | mesenteric lymph node | omentum | sigmoid colon | skeletal muscle tissue | spleen | thoracic lymph node | thymus | transverse colon,normal,62ef75e4-cbea-454e-a0ce-998ec40223d3,7829b193-210b-4a9c-b918-c30ac5a11ef9,fe52003e-1460-4a65-a213-2bb1a508332f,a8624832-9be0-45c1-a882-38d30f57a9ba,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/a8624832-9be0-45c1-a882-38d30f57a9ba.h5ad
Cross-tissue immune cell analysis reveals tissue-specific features in humans,T & innate lymphoid cells,216611,,,Domínguez Conde,Science,2022,https://cellxgene.cziscience.com/collections/62ef75e4-cbea-454e-a0ce-998ec40223d3,blood | bone marrow | caecum | duodenum | ileum | jejunal epithelium | lamina propria | liver | lung | mesenteric lymph node | omentum | sigmoid colon | skeletal muscle tissue | spleen | thoracic lymph node | thymus | transverse colon,normal,62ef75e4-cbea-454e-a0ce-998ec40223d3,7829b193-210b-4a9c-b918-c30ac5a11ef9,ae29ebd0-1973-40a4-a6af-d15a5f77a80f,e40458e9-d3b7-4b50-89ca-7ad1ef04727d,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e40458e9-d3b7-4b50-89ca-7ad1ef04727d.h5ad
Cross-tissue immune cell analysis reveals tissue-specific features in humans,B cell compartment,54934,,,Domínguez Conde,Science,2022,https://cellxgene.cziscience.com/collections/62ef75e4-cbea-454e-a0ce-998ec40223d3,blood | bone marrow | caecum | duodenum | ileum | jejunal epithelium | lamina propria | liver | lung | mesenteric lymph node | omentum | sigmoid colon | skeletal muscle tissue | spleen | thoracic lymph node | thymus | transverse colon,normal,62ef75e4-cbea-454e-a0ce-998ec40223d3,7829b193-210b-4a9c-b918-c30ac5a11ef9,71be997d-ff75-41b9-8a9f-1288c865f921,22633a36-a437-4cba-9be5-181f24825ea1,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/22633a36-a437-4cba-9be5-181f24825ea1.h5ad
Cross-tissue immune cell analysis reveals tissue-specific features in humans,Global,329762,,,Domínguez Conde,Science,2022,https://cellxgene.cziscience.com/collections/62ef75e4-cbea-454e-a0ce-998ec40223d3,blood | bone marrow | caecum | duodenum | ileum | jejunal epithelium | lamina propria | liver | lung | mesenteric lymph node | omentum | sigmoid colon | skeletal muscle tissue | spleen | thoracic lymph node | thymus | transverse colon,normal,62ef75e4-cbea-454e-a0ce-998ec40223d3,7829b193-210b-4a9c-b918-c30ac5a11ef9,1b9d8702-5af8-4142-85ed-020eb06ec4f6,78819b62-0699-4672-8dc8-d9317b04d255,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/78819b62-0699-4672-8dc8-d9317b04d255.h5ad
A molecular cell atlas of COVID-19 initiation in human lung,All annotated cells from infection 2,134076,,,Wu,Journal of Experimental Medicine,2024,https://cellxgene.cziscience.com/collections/2a9a17c9-1f61-4877-b384-b8cd5ffa4085,upper lobe of left lung,COVID-19,2a9a17c9-1f61-4877-b384-b8cd5ffa4085,234c1d42-1716-4a23-8889-3e511a41a606,7f7faf6b-f11d-4f07-bc1c-188a4472748d,5765a43e-3ce5-4e09-8eed-b4e78ecf4898,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5765a43e-3ce5-4e09-8eed-b4e78ecf4898.h5ad
A molecular cell atlas of COVID-19 initiation in human lung,All annotated cells from infection 4,76298,,,Wu,Journal of Experimental Medicine,2024,https://cellxgene.cziscience.com/collections/2a9a17c9-1f61-4877-b384-b8cd5ffa4085,upper lobe of left lung,COVID-19,2a9a17c9-1f61-4877-b384-b8cd5ffa4085,234c1d42-1716-4a23-8889-3e511a41a606,7c497c66-c2e2-4291-8b96-339e5e65f314,19f97913-618e-497a-bc95-2ea5a7ef1968,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/19f97913-618e-497a-bc95-2ea5a7ef1968.h5ad
A molecular cell atlas of COVID-19 initiation in human lung,All annotated cells from infection 3,125530,,,Wu,Journal of Experimental Medicine,2024,https://cellxgene.cziscience.com/collections/2a9a17c9-1f61-4877-b384-b8cd5ffa4085,lower lobe of left lung,COVID-19,2a9a17c9-1f61-4877-b384-b8cd5ffa4085,234c1d42-1716-4a23-8889-3e511a41a606,7b55fe5c-d5c8-48e0-a1a3-54c5b9074f3f,94099eda-27eb-4aee-b32b-41d5d92f59ef,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/94099eda-27eb-4aee-b32b-41d5d92f59ef.h5ad
A molecular cell atlas of COVID-19 initiation in human lung,All annotated cells from infection 1,48226,,,Wu,Journal of Experimental Medicine,2024,https://cellxgene.cziscience.com/collections/2a9a17c9-1f61-4877-b384-b8cd5ffa4085,upper lobe of left lung,COVID-19,2a9a17c9-1f61-4877-b384-b8cd5ffa4085,234c1d42-1716-4a23-8889-3e511a41a606,2ac76f1b-43ef-4271-8686-2f165570989f,d88c576a-1927-40ff-9225-e95c63fdb39f,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/d88c576a-1927-40ff-9225-e95c63fdb39f.h5ad
Ischemia Reperfusion Responses in Human Lung Transplants at the Single Cell Resolution,scRNA-seq of lung biopsies from six human lung transplant cases,108613,,,Wong,American Journal of Transplantation,2024,https://cellxgene.cziscience.com/collections/9f29fcd0-7075-4420-bd61-e2ec1aebad89,lingula of left lung | lower lobe of right lung | middle lobe of right lung | upper lobe of left lung | upper lobe of right lung,normal,9f29fcd0-7075-4420-bd61-e2ec1aebad89,cb16be22-0333-4509-a402-bda3ce743f43,429d21fd-bb9a-4abf-922b-c15138524bdd,25913359-253f-40f2-b808-b324bf3db111,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/25913359-253f-40f2-b808-b324bf3db111.h5ad
Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,51876,,,Szabo,Nat Commun,2019,https://cellxgene.cziscience.com/collections/24d42e5e-ce6d-45ff-a66b-a3b3b715deaf,bone marrow | bronchopulmonary lymph node | lower lobe of left lung | venous blood,normal,24d42e5e-ce6d-45ff-a66b-a3b3b715deaf,90dd4971-3bd5-48c1-be1d-886649df8c50,01209dce-3575-4bed-b1df-129f57fbc031,b4f8de4e-caf6-403c-a261-4e5298bb4707,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/b4f8de4e-caf6-403c-a261-4e5298bb4707.h5ad
Dissecting novel myeloid-derived cell states through single-cell RNA-Seq and its impact on clinical outcome across tumor types,A multi-tissue single-cell tumor microenvironment atlas,391963,,,Guimarães,Nat Commun,2024,https://cellxgene.cziscience.com/collections/3f7c572c-cd73-4b51-a313-207c7f20f188,blood | breast | colorectum | liver | lung | ovary | skin epidermis | uvea,breast cancer | colorectal cancer | liver cancer | lung cancer | melanoma | normal | ovarian cancer | uveal melanoma,3f7c572c-cd73-4b51-a313-207c7f20f188,5052c16f-4767-4bd3-8ff8-a2c5d754184e,b617ee1b-f8c8-4de9-b82b-e803ab93550d,767856be-7f8d-4644-9fcc-a4ee5510dad3,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/767856be-7f8d-4644-9fcc-a4ee5510dad3.h5ad
Integrated human endoderm-derived organoids cell atlas (HEOCA),human endoderm organoid cell atlas,806646,,,Xu,Nat Genet,2025,https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2,alveolar sac | biliary system | bronchus | colon | common bile duct | corpus | duodenum | gallbladder | ileum | intestine | intrahepatic bile duct | liver | lung | lung epithelium | nasopharynx | pancreas | prostate gland | pyloric antrum | salivary gland epithelium | stomach | thyroid gland,normal,6282a908-f162-44a2-99a3-8a942e4271b2,461d76a2-4383-4a79-8dbd-893d75271dc8,6725ee8e-ef5b-4e68-8901-61bd14a1fe73,c49c8589-0221-4955-b547-270f8d67d13f,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/c49c8589-0221-4955-b547-270f8d67d13f.h5ad
Integrated human endoderm-derived organoids cell atlas (HEOCA),human lung organoid cell atlas,221425,,,Xu,Nat Genet,2025,https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2,alveolar sac | bronchus | lung | lung epithelium | nasopharynx,normal,6282a908-f162-44a2-99a3-8a942e4271b2,461d76a2-4383-4a79-8dbd-893d75271dc8,569bce19-14c3-436f-bebf-543e5ea025dc,9265a814-c798-45ab-a5f1-c574f46a2137,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/9265a814-c798-45ab-a5f1-c574f46a2137.h5ad
COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas,Large-scale single-cell analysis reveals critical immune characteristics of COVID-19 patients,1462702,,,Ren,Cell,2021,https://cellxgene.cziscience.com/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba,blood | lung | saliva,COVID-19 | normal,0a839c4b-10d0-4d64-9272-684c49a2c8ba,e561387f-a088-4d49-8890-95e43e247a8c,9dbab10c-118d-496b-966a-67f1763a6b7d,891c6eef-a243-41a7-8b47-c8c1a224a193,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/891c6eef-a243-41a7-8b47-c8c1a224a193.h5ad
Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease,Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease,57918,,,Watanabe,Am J Respir Cell Mol Biol,2022,https://cellxgene.cziscience.com/collections/dc4cd1f7-667a-4c29-ae77-9401b9700d7f,lung parenchyma,chronic obstructive pulmonary disease | normal,dc4cd1f7-667a-4c29-ae77-9401b9700d7f,00eeff4e-6b0a-421b-93af-88b76fb5e85a,8fbed309-d3d4-441b-b3ff-e2dcbcec2d35,8304cd86-be18-4162-9195-eec356c7b336,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/8304cd86-be18-4162-9195-eec356c7b336.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_10",15366,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,cc43509e-8729-4cbc-ace9-f0f7d654ee53,609c2e68-00c6-401d-a4de-42c984f29635,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/609c2e68-00c6-401d-a4de-42c984f29635.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_09",14990,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,9b1437bb-42fe-47d8-8962-835d95581763,fc095b90-63b6-4fb3-bd23-a48e869467f5,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/fc095b90-63b6-4fb3-bd23-a48e869467f5.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_08",18851,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,6d243918-f3f6-4a9e-b72e-39d96de73095,e407a87b-5fad-4cef-83f8-85ee38e45dc9,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e407a87b-5fad-4cef-83f8-85ee38e45dc9.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_14",37568,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,4aefec71-da4e-48ec-a910-c542b5807c7d,6b0ebf50-ae2e-432e-83aa-f09dc1ded6bd,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/6b0ebf50-ae2e-432e-83aa-f09dc1ded6bd.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_13",40217,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,32ffc3a7-c88d-49e1-894f-8e09d0184ee9,72ea6236-2371-42ae-a1ad-6e6b698170d2,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/72ea6236-2371-42ae-a1ad-6e6b698170d2.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_20",37563,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,18fd0190-229d-4d2b-8f28-1e40c49c750d,38f7576c-5337-4377-bded-8b5474620df1,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/38f7576c-5337-4377-bded-8b5474620df1.h5ad
Spatially mapping T cell receptors and transcriptomes,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_15",35839,,,Liu,Immunity,2022,https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,lung,renal cell carcinoma,02b01703-bf1b-48de-b99a-23bef8cccc81,cab475dc-b8bc-48a7-9286-02d55452032b,07efa1c3-7649-43d8-b798-e26a0145ee65,077a3cb7-030a-4fd9-b0d4-7add7c6a0016,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/077a3cb7-030a-4fd9-b0d4-7add7c6a0016.h5ad
